#gen	response_time	SLA_penalty	overload_penalty	power_consumption	best_sol
0	1.1913990434530175	0.0	0.0	4.4546	"[1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 1]"
1	1.116418326680057	0.0	0.0	4.4546	"[0, 1, 0, 3, 0, 3, 0, 0, 0, 0, 0]"
2	1.116418326680057	0.0	0.0	4.4546	"[0, 1, 0, 3, 0, 3, 0, 0, 0, 0, 0]"
3	1.071418326680057	0.0	0.0	4.4546	"[0, 3, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
4	3.168668768655886	0.0	0.0	3.4546	"[1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2]"
5	2.288287306329376	0.0	0.0	3.4546	"[1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1]"
6	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
7	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
8	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
9	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
10	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
11	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
12	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
13	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
14	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
15	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
16	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
17	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
18	2.198287306329376	0.0	0.0	3.4546	"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
19	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
20	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
21	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
22	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
23	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
24	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
25	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
26	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
27	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
28	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
29	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
30	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
31	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
32	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
33	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
34	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
35	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
36	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
37	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
38	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
39	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
40	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
41	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
42	2.198287306329376	0.0	0.0	3.4546	"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
43	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
44	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
45	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
46	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
47	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
48	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
49	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
50	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
51	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
52	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
53	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
54	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
55	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
56	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
57	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
58	2.198287306329376	0.0	0.0	3.4546	"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
59	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
60	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
61	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
62	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
63	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
64	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
65	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
66	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
67	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
68	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
69	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
70	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
71	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
72	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
73	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
74	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
75	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
76	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
77	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
78	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
79	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
80	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
81	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
82	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
83	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
84	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
85	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
86	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
87	2.198287306329376	0.0	0.0	3.4546	"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
88	2.198287306329376	0.0	0.0	3.4546	"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
89	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
90	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
91	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
92	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
93	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
94	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
95	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
96	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
97	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
98	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
99	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
100	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
101	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
102	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
103	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
104	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
105	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
106	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
107	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
108	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
109	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
110	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
111	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
112	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
113	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
114	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
115	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
116	2.198287306329376	0.0	0.0	3.4546	"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
117	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
118	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
119	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
120	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
121	2.198287306329376	0.0	0.0	3.4546	"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
122	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
123	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
124	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
125	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
126	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
127	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
128	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
129	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
130	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
131	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
132	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
133	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
134	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
135	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
136	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
137	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
138	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
139	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
140	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
141	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
142	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
143	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
144	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
145	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
146	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
147	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
148	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
149	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
150	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
151	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
152	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
153	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
154	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
155	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
156	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
157	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
158	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
159	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
160	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
161	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
162	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
163	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
164	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
165	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
166	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
167	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
168	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
169	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
170	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
171	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
172	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
173	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
174	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
175	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
176	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
177	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
178	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
179	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
180	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
181	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
182	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
183	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
184	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
185	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
186	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
187	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
188	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
189	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
190	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
191	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
192	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
193	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
194	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
195	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
196	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
197	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
198	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
199	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
